state_slug,state_name,year,quarter,quarter_start_date,source_category,transaction_count,transaction_value_inr,source_file
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,4,2021-10-01,P2P,300209,1567798133.6227083,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,4,2021-10-01,Retail,259587,368579676.67848885,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,4,2021-10-01,Utility,162945,75816868.38886881,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,1,2022-01-01,P2P,397423,1893472517.2149887,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,1,2022-01-01,Retail,396140,476954261.9172399,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,1,2022-01-01,Utility,204932,82992500.45325463,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,2,2022-04-01,P2P,537340,2460576139.9419093,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,2,2022-04-01,Retail,629016,653262174.9291698,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,2,2022-04-01,Utility,253200,115629850.03782275,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,3,2022-07-01,P2P,698789,2793281865.2751703,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,3,2022-07-01,Retail,866124,797560084.4862237,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,3,2022-07-01,Utility,312058,136390365.3426937,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,4,2022-10-01,P2P,822471,3143303090.7875686,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,4,2022-10-01,Retail,1130336,1020572932.3307438,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,4,2022-10-01,Utility,310348,149736033.28276455,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2022/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,1,2023-01-01,P2P,882980,3385680244.921925,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/1.json
