state_slug,state_name,year,quarter,quarter_start_date,registered_count,source_file
arunachal-pradesh,Arunachal Pradesh,2025,1,2025-01-01,24793,data/aggregated/merchant/country/india/state/arunachal-pradesh/2025/1.json
arunachal-pradesh,Arunachal Pradesh,2025,2,2025-04-01,26579,data/aggregated/merchant/country/india/state/arunachal-pradesh/2025/2.json
arunachal-pradesh,Arunachal Pradesh,2025,3,2025-07-01,28636,data/aggregated/merchant/country/india/state/arunachal-pradesh/2025/3.json
arunachal-pradesh,Arunachal Pradesh,2025,4,2025-10-01,30529,data/aggregated/merchant/country/india/state/arunachal-pradesh/2025/4.json
arunachal-pradesh,Arunachal Pradesh,2026,1,2026-01-01,32620,data/aggregated/merchant/country/india/state/arunachal-pradesh/2026/1.json
arunachal-pradesh,Arunachal Pradesh,2026,2,2026-04-01,35125,data/aggregated/merchant/country/india/state/arunachal-pradesh/2026/2.json
assam,Assam,2018,3,2018-07-01,12,data/aggregated/merchant/country/india/state/assam/2018/3.json
assam,Assam,2018,4,2018-10-01,58,data/aggregated/merchant/country/india/state/assam/2018/4.json
assam,Assam,2019,1,2019-01-01,2157,data/aggregated/merchant/country/india/state/assam/2019/1.json
assam,Assam,2019,2,2019-04-01,6178,data/aggregated/merchant/country/india/state/assam/2019/2.json
assam,Assam,2019,3,2019-07-01,8036,data/aggregated/merchant/country/india/state/assam/2019/3.json
assam,Assam,2019,4,2019-10-01,9805,data/aggregated/merchant/country/india/state/assam/2019/4.json
assam,Assam,2020,1,2020-01-01,11386,data/aggregated/merchant/country/india/state/assam/2020/1.json
assam,Assam,2020,2,2020-04-01,12767,data/aggregated/merchant/country/india/state/assam/2020/2.json
assam,Assam,2020,3,2020-07-01,14007,data/aggregated/merchant/country/india/state/assam/2020/3.json
assam,Assam,2020,4,2020-10-01,18200,data/aggregated/merchant/country/india/state/assam/2020/4.json
assam,Assam,2021,1,2021-01-01,41335,data/aggregated/merchant/country/india/state/assam/2021/1.json
assam,Assam,2021,2,2021-04-01,70790,data/aggregated/merchant/country/india/state/assam/2021/2.json
assam,Assam,2021,3,2021-07-01,115235,data/aggregated/merchant/country/india/state/assam/2021/3.json
