date,year,month,quarter,payment_mode,volume_lakh,value_crore,source_resource_id
2020-07-03,2020,7,Q3,UPI,507.41,10735.45,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-04,2020,7,Q3,IMPS,76.41,7785.95,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-04,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,105.09,4597.66,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-04,2020,7,Q3,UPI,498.77,10114.58,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-05,2020,7,Q3,IMPS,55.19,4615.17,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-05,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,70.98,2790.42,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-05,2020,7,Q3,UPI,432.52,7115.05,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-06,2020,7,Q3,IMPS,82.24,8622.13,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-06,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,105.12,4574.37,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-06,2020,7,Q3,UPI,503.34,10863.0,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-07,2020,7,Q3,IMPS,79.28,8374.16,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-07,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,102.75,4476.89,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-07,2020,7,Q3,UPI,496.02,10438.01,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-08,2020,7,Q3,IMPS,77.06,8091.53,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-08,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,107.32,4702.73,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-08,2020,7,Q3,UPI,509.11,10642.44,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-09,2020,7,Q3,IMPS,74.58,7859.37,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-09,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,103.6,4490.87,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-09,2020,7,Q3,UPI,485.14,10059.96,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-10,2020,7,Q3,IMPS,74.82,8028.18,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-10,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,106.92,4583.66,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-10,2020,7,Q3,UPI,451.5,9324.23,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-11,2020,7,Q3,IMPS,68.01,6185.32,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-11,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,95.77,3972.5,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-11,2020,7,Q3,UPI,500.95,9024.34,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-12,2020,7,Q3,IMPS,49.4,3658.08,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-12,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,61.49,2310.0,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-12,2020,7,Q3,UPI,434.05,6282.22,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-13,2020,7,Q3,IMPS,77.46,8056.36,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-13,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,99.16,4173.68,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-13,2020,7,Q3,UPI,518.52,10469.79,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-14,2020,7,Q3,IMPS,74.8,7839.39,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-14,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,99.31,4188.85,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-14,2020,7,Q3,UPI,519.6,10312.04,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-15,2020,7,Q3,IMPS,72.43,7711.74,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-15,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,95.15,3961.97,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-15,2020,7,Q3,UPI,499.18,10118.86,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-16,2020,7,Q3,IMPS,69.47,7083.76,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-16,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,88.25,3612.93,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-16,2020,7,Q3,UPI,479.81,9451.87,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-17,2020,7,Q3,IMPS,68.6,7062.31,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-17,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,89.38,3589.93,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-17,2020,7,Q3,UPI,472.6,9034.77,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-18,2020,7,Q3,IMPS,62.86,5988.41,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-18,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,84.93,3338.88,1f9367ac-01b0-4c82-83a1-4069d4340667
