state_slug,state_name,year,quarter,quarter_start_date,registered_count,source_file
andhra-pradesh,Andhra Pradesh,2022,3,2022-07-01,22199210,data/aggregated/user/country/india/state/andhra-pradesh/2022/3.json
andhra-pradesh,Andhra Pradesh,2022,4,2022-10-01,23102641,data/aggregated/user/country/india/state/andhra-pradesh/2022/4.json
andhra-pradesh,Andhra Pradesh,2023,1,2023-01-01,23903359,data/aggregated/user/country/india/state/andhra-pradesh/2023/1.json
andhra-pradesh,Andhra Pradesh,2023,2,2023-04-01,24687258,data/aggregated/user/country/india/state/andhra-pradesh/2023/2.json
andhra-pradesh,Andhra Pradesh,2023,3,2023-07-01,25473637,data/aggregated/user/country/india/state/andhra-pradesh/2023/3.json
andhra-pradesh,Andhra Pradesh,2023,4,2023-10-01,26160960,data/aggregated/user/country/india/state/andhra-pradesh/2023/4.json
andhra-pradesh,Andhra Pradesh,2024,1,2024-01-01,26931791,data/aggregated/user/country/india/state/andhra-pradesh/2024/1.json
andhra-pradesh,Andhra Pradesh,2024,2,2024-04-01,27773775,data/aggregated/user/country/india/state/andhra-pradesh/2024/2.json
andhra-pradesh,Andhra Pradesh,2024,3,2024-07-01,28578957,data/aggregated/user/country/india/state/andhra-pradesh/2024/3.json
andhra-pradesh,Andhra Pradesh,2024,4,2024-10-01,29497544,data/aggregated/user/country/india/state/andhra-pradesh/2024/4.json
andhra-pradesh,Andhra Pradesh,2025,1,2025-01-01,30313656,data/aggregated/user/country/india/state/andhra-pradesh/2025/1.json
andhra-pradesh,Andhra Pradesh,2025,2,2025-04-01,31181805,data/aggregated/user/country/india/state/andhra-pradesh/2025/2.json
andhra-pradesh,Andhra Pradesh,2025,3,2025-07-01,32097241,data/aggregated/user/country/india/state/andhra-pradesh/2025/3.json
andhra-pradesh,Andhra Pradesh,2025,4,2025-10-01,32906085,data/aggregated/user/country/india/state/andhra-pradesh/2025/4.json
andhra-pradesh,Andhra Pradesh,2026,1,2026-01-01,33598777,data/aggregated/user/country/india/state/andhra-pradesh/2026/1.json
andhra-pradesh,Andhra Pradesh,2026,2,2026-04-01,34327612,data/aggregated/user/country/india/state/andhra-pradesh/2026/2.json
arunachal-pradesh,Arunachal Pradesh,2018,1,2018-01-01,26660,data/aggregated/user/country/india/state/arunachal-pradesh/2018/1.json
arunachal-pradesh,Arunachal Pradesh,2018,2,2018-04-01,39517,data/aggregated/user/country/india/state/arunachal-pradesh/2018/2.json
arunachal-pradesh,Arunachal Pradesh,2018,3,2018-07-01,53503,data/aggregated/user/country/india/state/arunachal-pradesh/2018/3.json
arunachal-pradesh,Arunachal Pradesh,2018,4,2018-10-01,71555,data/aggregated/user/country/india/state/arunachal-pradesh/2018/4.json
arunachal-pradesh,Arunachal Pradesh,2019,1,2019-01-01,88991,data/aggregated/user/country/india/state/arunachal-pradesh/2019/1.json
arunachal-pradesh,Arunachal Pradesh,2019,2,2019-04-01,108855,data/aggregated/user/country/india/state/arunachal-pradesh/2019/2.json
arunachal-pradesh,Arunachal Pradesh,2019,3,2019-07-01,128047,data/aggregated/user/country/india/state/arunachal-pradesh/2019/3.json
