monthly_date,year,month,quarter,payment_mode,days_observed,calendar_days,volume_lakh,value_crore
2024-04-01,2024,4,Q2,IMPS,30,30,5503.65,592278.85
2024-04-01,2024,4,Q2,NFS_ATM_CASH_WITHDRAWAL,30,30,3127.56,137077.13
2024-04-01,2024,4,Q2,UPI,30,30,133039.94,1964464.52
2024-05-01,2024,5,Q2,IMPS,31,31,5576.99,606166.78
2024-05-01,2024,5,Q2,NFS_ATM_CASH_WITHDRAWAL,31,31,3077.10,133735.83
2024-05-01,2024,5,Q2,UPI,31,31,140358.43,2044937.05
2024-06-01,2024,6,Q2,IMPS,30,30,5167.51,577794.24
2024-06-01,2024,6,Q2,NFS_ATM_CASH_WITHDRAWAL,30,30,3025.54,130862.51
2024-06-01,2024,6,Q2,UPI,30,30,138851.42,2007081.20
2024-07-01,2024,7,Q3,IMPS,31,31,4902.84,593176.58
2024-07-01,2024,7,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,2987.36,126523.29
2024-07-01,2024,7,Q3,UPI,31,31,144355.54,2064292.41
2024-08-01,2024,8,Q3,IMPS,31,31,4533.37,577887.90
2024-08-01,2024,8,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,3043.42,128895.09
2024-08-01,2024,8,Q3,UPI,31,31,149630.47,2060735.57
2024-09-01,2024,9,Q3,IMPS,30,30,4299.36,565232.66
2024-09-01,2024,9,Q3,NFS_ATM_CASH_WITHDRAWAL,30,30,2928.90,124171.06
2024-09-01,2024,9,Q3,UPI,30,30,150417.47,2063994.71
2024-10-01,2024,10,Q4,IMPS,31,31,4668.23,629381.52
2024-10-01,2024,10,Q4,NFS_ATM_CASH_WITHDRAWAL,31,31,3291.10,145120.51
2024-10-01,2024,10,Q4,UPI,31,31,165849.66,2349821.46
2024-11-01,2024,11,Q4,IMPS,30,30,4079.18,558327.60
2024-11-01,2024,11,Q4,NFS_ATM_CASH_WITHDRAWAL,30,30,2808.07,121985.38
2024-11-01,2024,11,Q4,UPI,30,30,154820.21,2155187.41
2024-12-01,2024,12,Q4,IMPS,31,31,4411.64,601549.15
2024-12-01,2024,12,Q4,NFS_ATM_CASH_WITHDRAWAL,31,31,2916.74,127303.92
2024-12-01,2024,12,Q4,UPI,31,31,167300.09,2324699.94
2025-01-01,2025,1,Q1,IMPS,31,31,4442.23,606420.17
2025-01-01,2025,1,Q1,NFS_ATM_CASH_WITHDRAWAL,31,31,2869.56,126789.33
2025-01-01,2025,1,Q1,UPI,31,31,169960.01,2348037.11
2025-02-01,2025,2,Q1,IMPS,28,28,4048.29,563081.64
2025-02-01,2025,2,Q1,NFS_ATM_CASH_WITHDRAWAL,28,28,2669.51,119835.21
2025-02-01,2025,2,Q1,UPI,28,28,161061.93,2196481.70
2025-03-01,2025,3,Q1,IMPS,31,31,4616.39,667812.80
2025-03-01,2025,3,Q1,NFS_ATM_CASH_WITHDRAWAL,31,31,2967.96,133926.59
2025-03-01,2025,3,Q1,UPI,31,31,183015.08,2477221.59
2025-04-01,2025,4,Q2,IMPS,30,30,4492.53,621666.37
2025-04-01,2025,4,Q2,NFS_ATM_CASH_WITHDRAWAL,30,30,2732.27,123770.73
2025-04-01,2025,4,Q2,UPI,30,30,178934.24,2394925.87
2025-05-01,2025,5,Q2,IMPS,31,31,4636.60,640867.39
2025-05-01,2025,5,Q2,NFS_ATM_CASH_WITHDRAWAL,31,31,2719.71,123691.48
2025-05-01,2025,5,Q2,UPI,31,31,186774.60,2514297.01
2025-07-01,2025,7,Q3,IMPS,31,31,4821.90,631411.24
2025-07-01,2025,7,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,2604.44,115274.94
2025-07-01,2025,7,Q3,UPI,31,31,194679.48,2508498.10
2026-07-01,2026,7,Q3,IMPS,31,31,3643.39,711704.37
2026-07-01,2026,7,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,2483.82,112332.49
2026-07-01,2026,7,Q3,UPI,31,31,236583.53,2987880.48
