year,quarter,quarter_start_date,source_category,state_sum_transaction_count,state_sum_transaction_value_inr,country_transaction_count,country_transaction_value_inr,count_difference,value_difference_inr
2022,2,2022-04-01,Utility,911561731,602801004075.411807448,911561731,602801004075.7869,0,-0.375092552
2022,3,2022-07-01,P2P,3947241409,12809400422539.5460199,3947241409,12809400422543.578,0,-4.0319801
2022,3,2022-07-01,Retail,5549687895,3056326614656.619563663,5549687895,3056326614657.4795,0,-0.859936337
2022,3,2022-07-01,Utility,1040275543,718003996473.297717399,1040275543,718003996472.7179,0,0.579817399
2022,4,2022-10-01,P2P,4324963928,14143480411741.00226664,4324963928,14143480411753.057,0,-12.05473336
2022,4,2022-10-01,Retail,6322053632,3470158956747.891706398,6322053632,3470158956748.4375,0,-0.545793602
2022,4,2022-10-01,Utility,1079242404,770714348649.050509567,1079242404,770714348649.1868,0,-0.136290433
2023,1,2023-01-01,P2P,4792470518,15924876498841.79331042,4792470518,15924876498831.21,0,10.58331042
2023,1,2023-01-01,Retail,7131649041,3770386639495.30322026,7131649041,3770386639494.8447,0,0.45852026
2023,1,2023-01-01,Utility,1172364563,829590564254.887677888,1172364563,829590564254.5071,0,0.380577888
2023,2,2023-04-01,P2P,5374551578,17722778869093.31318465,5374551578,17722778869084.047,0,9.26618465
2023,2,2023-04-01,Retail,8425354748,4219499939207.171368966,8425354748,4219499939211.5576,0,-4.386231034
2023,2,2023-04-01,Utility,1316281943,985891275164.850240207,1316281943,985891275164.4216,0,0.428640207
2023,3,2023-07-01,P2P,5929670663,18342686824686.63250942,5929670663,18342686824683.375,0,3.25750942
2023,3,2023-07-01,Retail,9741914217,4605174500633.270342128,9741914217,4605174500635.483,0,-2.212657872
2023,3,2023-07-01,Utility,1376579779,1073595715820.086784065,1376579779,1073595715818.6113,0,1.475484065
2023,4,2023-10-01,P2P,6647630864,20545071651641.9240203,6647630864,20545071651642.883,0,-0.9589797
2023,4,2023-10-01,Retail,10978328265,5359809825867.18106400,10978328265,5359809825867.9,0,-0.71893600
2023,4,2023-10-01,Utility,1409175913,1223199173650.202632877,1409175913,1223199173650.7825,0,-0.579867123
2024,1,2024-01-01,P2P,7336132265,22329194286446.86392143,7336132265,22329194286455.582,0,-8.71807857
2024,1,2024-01-01,Retail,12362025799,5895178298683.114927565,12362025799,5895178298681.608,0,1.506927565
2024,1,2024-01-01,Utility,1551676514,1292118825489.097115096,1551676514,1292118825487.7725,0,1.324615096
2024,2,2024-04-01,P2P,7929913581,23817818325383.41413637,7929913581,23817818325398.516,0,-15.10186363
2024,2,2024-04-01,Retail,14417003150,6559229555753.78021105,14417003150,6559229555752.334,0,1.44621105
2024,2,2024-04-01,Utility,1685219208,1452646564300.463615525,1685219208,1452646564299.1975,0,1.266115525
2024,3,2024-07-01,P2P,8566987345,23963938756080.89489983,8566987345,23963938756090.566,0,-9.67110017
2024,3,2024-07-01,Retail,15529951447,6750110686283.044076304,15529951447,6750110686285.371,0,-2.326923696
2024,3,2024-07-01,Utility,1730624851,1642651067122.33706483,1730624851,1642651067121.496,0,0.84106483
2024,4,2024-10-01,P2P,9368201927,26633866935113.62089117,9368201927,26633866935111.484,0,2.13689117
2024,4,2024-10-01,Retail,17088280371,7602790305584.10929066,17088280371,7602790305577.834,0,6.27529066
2024,4,2024-10-01,Utility,1767462539,1772670829005.379101078,1767462539,1772670829005.7222,0,-0.343098922
2025,1,2025-01-01,P2P,9746733751,27829606589866.0919719,9746733751,27829606589848.008,0,18.0839719
2025,1,2025-01-01,Retail,17844086266,7619245009686.53076958,17844086266,7619245009688.357,0,-1.82623042
2025,1,2025-01-01,Utility,1917477198,1883178460673.707951263,1917477198,1883178460673.604,0,0.103951263
2025,2,2025-04-01,P2P,9900005748,28268720863298.59554914,9900005748,28268720863299.043,0,-0.44745086
2025,2,2025-04-01,Retail,19304029989,8176814143802.72651068,19304029989,8176814143804.889,0,-2.16248932
2025,2,2025-04-01,Utility,1930174862,1973927573013.875322977,1930174862,1973927573014.5562,0,-0.680877023
2025,3,2025-07-01,P2P,10422073985,27595198105541.02762438,10422073985,27595198105516.906,0,24.12162438
2025,3,2025-07-01,Retail,20635151288,8402692427473.11546329,20635151288,8402692427468.916,0,4.19946329
2025,3,2025-07-01,Utility,1950772627,2149448721563.831407343,1950772627,2149448721564.6545,0,-0.823092657
2025,4,2025-10-01,P2P,11083827632,29860876292755.6776943,11083827632,29860876292763.58,0,-7.9023057
2025,4,2025-10-01,Retail,21832362356,9277808164804.5368569,21832362356,9277808164803.066,0,1.4708569
2025,4,2025-10-01,Utility,1977344265,2339219285223.52244134,1977344265,2339219285222.5327,0,0.98974134
2026,1,2026-01-01,P2P,11518262185,31307245432323.8295545,11518262185,31307245432326.008,0,-2.1784455
2026,1,2026-01-01,Retail,22674188870,9657607938637.23374572,22674188870,9657607938640.018,0,-2.78425428
2026,1,2026-01-01,Utility,2059248030,2481213375759.26460171,2059248030,2481213375757.9775,0,1.28710171
2026,2,2026-04-01,P2P,11889781621,32389025199244.54857194,11889781621,32389025199241.22,0,3.32857194
2026,2,2026-04-01,Retail,24691181013,10483776876683.34278985,24691181013,10483776876684.934,0,-1.59121015
2026,2,2026-04-01,Utility,2083323057,2623651480948.607783734,2083323057,2623651480946.3564,0,2.251383734
